asterisk,list_name,author,display_name,book_review_link,isbn10,description,publisher,rank,price,published_date,sunday_review_link,ranks_last_week,weeks_on_list,contributor,contributor_note,primary_isbn10,article_chapter_link,dagger,age_group,isbn13,primary_isbn13,title,bestsellers_date,first_chapter_link
,,Elena Mauli Shapiro,,,0316083283,,,,0,,https://www.nytimes.com/2011/02/13/books/review/Byrd-t.html,,,,,,,,,9780316083287,,"13, rue Thérèse: A Novel",,
,,Bernard Cornwell,,,0061969672,"In the fourth book of the Grail Quest series, the English and French face off at the Battle of Poitiers.",Harper/HarperCollins,,0,,,,,by Bernard Cornwell,,,,,,9780061969676,,1356,,
,,Carmen Agra Deedy with Wilson Kimeli Naiyomah,,,1561454907,Masai villagers in Kenya seek to comfort Americans after 9/11.,Peachtree,,17.95,,https://www.nytimes.com/2009/11/08/books/review/Kristof-t.html,,,by Carmen Agra Deedy with Wilson Kimeli Naiyomah.  Illustrated by Thomas Gonzalez,Illustrated by Thomas Gonzalez,,,,Ages 6 to 10,9781561454907,,14 COWS FOR AMERICA,,
,,Gavin Menzies,,,0061564893,,,,0,,https://www.nytimes.com/2003/02/02/books/pacific-overtures.html,,,,,,,,,9780061564895,,1421: The Year China Discovered America (P.S.),,
,,Charles C Mann,,,1565119789,A portrait of pre-Columbian life in the Americas.,Vintage,,0,,,,,by Charles C. Mann,,,,,,9781565119789,,1491,,
,,Charles C Mann,,,0307278247,The author says that ecological encounters since Columbus have affected subsequent human history.,Vintage,,0,,https://www.nytimes.com/2011/08/21/books/review/1493-uncovering-the-new-world-columbus-created-by-charles-c-mann-book-review.html,,,by Charles C. Mann,,,,,,9780307278241,,1493,,
0,Mass Market Paperback,James Patterson and Maxine Paetro,Paperback Mass-Market Fiction,,1455584983,Detective Lindsay Boxer and her friends must risk their lives to save the city and one another when a rash of murders grips San Francisco.,Vision,6,0,2016-06-12,,,5,by James Patterson and Maxine Paetro,,1455584983,,0,,9781455584987,9781455584987,14TH DEADLY SIN,2016-05-28,
,,John C Maxwell,,,1607885182,Tried and true principles to help our personal development.,Center Street,,25.99,,,,,by John C. Maxwell,,,,,,9781607885184,,15 INVALUABLE LAWS OF GROWTH,,
,,Andrew Gross,,,006165597X,,Morrow,,0,,,,,by Andrew Gross,,,,,,9780061655975,,15 SECONDS,,
,,Stanley Weintraub,,,0451223926,,,,0,,https://www.nytimes.com/2007/08/05/books/review/05besc.html,,,,,,,,,9780451223920,,"15 Stars: Eisenhower, MacArthur, Marshall: Three Generals Who Saved the American Century",,
,,Ray Huang,,,0300028849,,,,0,,https://www.nytimes.com/1981/06/21/books/interesting-times.html,,,,,,,,,9780300028843,,"1587, A Year of No Significance: The Ming Dynasty in Decline",,
0,Combined Print and E-Book Fiction,James Patterson and Maxine Paetro,Combined Print & E-Book Fiction,,1455585270,"A brutal murder threatens the domestic happiness of the San Francisco police detective Lindsay Boxer, who turns for help to the Women's Murder Club.",Grand Central,3,0,2016-06-12,,,4,by James Patterson and Maxine Paetro,,031629005X,,0,,9781455585274,9780316290050,15TH AFFAIR,2016-05-28,
,,Debbie Macomber,,,0778316882,A judge makes headlines when she refuses to grant a divorce to a couple she senses are still in love.,Mira,,0,,,,,by Debbie Macomber,,,,,,9780778316886,,16 LIGHTHOUSE ROAD,,
,,"Eric Flint, Gorg Huff and Paula Goodlett",,,1451637764,,Baen,,0,,,,,"by Eric Flint, Gorg Huff and Paula Goodlett",,,,,,9781451637762,,1636: THE KREMLIN GAMES,,
0,Combined Print and E-Book Nonfiction,Andrew Morton,Combined Print & E-Book Nonfiction,,1455527092,"The Duke of Windsor; his wife, Wallis Simpson; and their relations with the Nazis.",Grand Central,16,0,2015-03-29,,,0,by Andrew Morton,,1455527092,,0,,9781455527090,9781455527090,17 CARNATIONS,2015-03-14,
0,Paperback Nonfiction,Kevin Phillips,Paperback Nonfiction,,0143123998,,Penguin,25,0,2013-10-20,https://www.nytimes.com/2012/12/09/books/review/1775-by-kevin-phillips.html,,0,by Kevin Phillips,,0143123998,,0,,9780143123996,9780143123996,1775,2013-10-05,
0,E-Book Nonfiction,David McCullough,E-Book Nonfiction,https://www.nytimes.com/2005/05/24/books/a-nation-is-born-and-you-are-there.html,0743226720,"An account of America's founding year by the Pulitzer Prize-winning author, focusing on the inexperienced George Washington and heroic citizen soldiers. Originally published in 2005.",Simon & Schuster,19,0,2013-07-21,,,1,by David McCullough,,0743287703,,0,,9780743226721,9780743287708,1776,2013-07-06,
